Part Number,Model,Description,QTY
11103020006399,ESCA16H-60,Compressor (DC Inverter Rotary ),0
15422000022915,ESCA16H-60,Electronic expansion valve assembly,0
15422000022897,ESCA16H-60,Electronic expansion valve subassembly,0
17122000058473,ESCA16H-60,Inverter module assembly,0
15500204000027,ESCA16H-60,Low Pressure valve,0
17122000058490,ESCA16H-60,Main Control Board assembly,0
15700101001416,ESCA16H-60,Plate heat exchanger subassembly,0
17400516000009,ESCA16H-60,Pressure switch,0
17100000001,GN,Fuse,0
12223000002121,GN1836-P1,Air Duct Assembly,0
12223000002178,GN1836-P1,"Bar 2, Drainage Pan Support",0
12223000002373,GN1836-P1,Base Assembly,0
12223000001934,GN1836-P1,Bracket Assembly I for Motor (Mounting Legs for Motor)[Short leg],0
11002015000981,GN1836-P1,Brushless DC Motor (ECM Motor),0
12200102000026,GN1836-P1,"Centrifugal Fan (Blower Ass’y, Wrapper/Wheel)",0
12223000001997,GN1836-P1,Cover Board ( Support of Fan Motor),0
12223000002157,GN1836-P1,Cover plate Assembly (Refrigerant Pipe Access Panel),0
15500502000051,GN1836-P1,Distributor,0
12223000001206,GN1836-P1,Drainage Pan (Horizontal) Drain Pan,0
12123000000114,GN1836-P1,"Drainage Pan Assembly (Vertical) (21 1/2"" Wide x 18 1/2"" Deep )[Plastic Drain Pan]",0
12223000002175,GN1836-P1,Electric Installation Board,0
17123000000700,GN1836-P1,Electronic Control (display) Box Subassembly of Indoor Unit 1.0,0
17223000000640,GN1836-P1,E-Part Box Assembly,0
15823000000991,GN1836-P1,"Evaporator Coil  (16 1/2 length x 24 Width x 16 1/2"" Height)",0
12223000000028,GN1836-P1,Fixing Board of Water Collector (Drainage pan clamp),0
12223000002190,GN1836-P1,Side Board Assembly,0
12223000002213,GN1836-P1,Side Board Assembly,0
12223000002188,GN1836-P1,"Side Board Assembly (Coil door, Cabinet)",0
12223000001937,GN1836-P1,Supporter Assembly III (Left) (Drainage Pan),0
12223000001946,GN1836-P1,Supporter Assembly IV (Right) (Drainage Pan),0
12223000001992,GN1836-P1,Supporter of Fan Motor (Mounting Bracket),0
12223100000197,GN1836-P1,Supporting Bar (Lower),0
12223000001935,GN1836-P1,Supporting Board (Left) (Drainage Pan),0
12223000001936,GN1836-P1,Supporting Board (Right)(Drainage Pan),0
15500213000090,GN1836-P1,Thermostatic Expansion Valve (067U3510),0
11203103000141,GN1836-P1,Transformer,0
15423000000614,GN1836-P1,Tube Assembly 1.0 (Enter the Evaporator),0
15123000005286,GN1836-P1,Tube Assembly Output (Evaporator),0
11201708000008,GN1836-P1,Wiring Terminal,0
12223000002127,GN1860-P1,Air Channel Assembly (Dischard Duct),0
12223000002371,GN1860-P1,Base Assembly ( Wrapper Cabionet),0
12223000002003,GN1860-P1,Cover Board for Filter,0
15500502000109,GN1860-P1,Distributor,0
12223000001212,GN1860-P1,Drainage Pan (Horizontal) Drain Pan,0
12123000000110,GN1860-P1,"Drainage Pan Assembly (Vertical) (23 1/2"" Wide x 20 1/2"" Deep)[Plastic Drain Pan]",0
15823000000617,GN1860-P1,"Evaporator Coil (19 3/4 length x 27 Width x 21 1/2"" Height)",0
15423000000602,GN1860-P1,Input Pipe Assembly (Evaporator),0
11002015000058,GN1860-P1,Motor ECM (5SME39NXL),0
15123000001727,GN1860-P1,Output Pipe Assembly (Evaporator),0
12223000002208,GN1860-P1,"Side Board Assembly (Coil door, Cabinet )",0
12223000002212,GN1860-P1,"Side Board Assembly (Top pan, Cabinet)",0
12223000002197,GN1860-P1,"Side Panel Assembly up (Blower door, Cabinet)",0
12223000002089,GN1860-P1,Supporter Assembly (Middle),0
12223000001944,GN1860-P1,Supporter Assembly (Up-flow coil support [Right]) (Drainage Pan),0
12223000001932,GN1860-P1,Supporter Subassembly of Fan Motor 3.0  (Mounting Legs)[Long Legs],0
12223000002101,GN1860-P1,Supporting Bar (Lower),0
12223000001938,GN1860-P1,Supporting Board (Down Flow Coil Support [Left]) (Drainage Pan),0
12223000001940,GN1860-P1,Supporting Board (Down Flow Coil Support [Right])(Drainage Pan),0
15500213000074,GN1860-P1,Thermostatic Expansion Valve (067U3509),0
12223000001941,GN1860-P1,Water Tray Supporting welding pieces 1.0 (Up-flow coil support [Left]),0
15500213000184,GNC3036BPT,Thermostatic Expansion Valve,0
15500213000110,GNC4248CPT,Thermostatic Expansion Valve,0
15427600000065,MGH96M060B3,"Gas Pipe Assembly (10 1/2"") (3 Nozzle)",0
12227600000245,MGH96M060B3 / MGH96M080B3,Bracket ass'y I for Motor,0
12200102000010,MGH96M060B3 / MGH96M080B3,"Centrifugal Fan (Entrance size : 10 1/2 x 8 1/4"")",0
12127600000018,MGH96M060B3 / MGH96M080B3,Drain box weld assembly,0
12427600000035,MGH96M060B3 / MGH96M080B3,"Drip tray Gasket (Drainage Pan) (11 3/4 x 3 1/2"")",0
11002015011986,MGH96M060B3 / MGH96M080B3 / MGH96M080C4,Brushless DC Motor,0
17400801002944,MGH96M060B3 / MGH96M080B3 / MGH96M080C4,Exhaust fancomponents [Inducer],0
12627600000006,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5  / MGH96M100D5 / MGH96M120D5,"Silicon Hose Tube IV (6 3/4"") Diam: 1/4""",0
12223000001993,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Bracket II for Motor,0
17427600001148,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Door Switch,0
17227600000941,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Electric Control Box Assembly ,0
17400513000874,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Fan mounted temperature limit switch,0
17427600000007,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Firing pin [Igniter/Ignitor],0
12127600000016,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Flue discharge pipe joint assembly [Smoke exhaust],0
17427600001389,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Gas valve,0
11203103000197,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Linear Transformer,0
15527600000005,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,LP Copper Nozzle,0
17127600000708,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Main Control Board [Tie-in assembly],0
17400515000421,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Pressure air switch (High fire),0
17400515000422,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Pressure air switch (Low fire),0
17400515000420,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,Pressure air switch (Water level) (2 input)(2 connectors C & P1),0
12627600000005,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,"Silicon Hose Tube I (20 "") Diam: 1/4""",0
12627600000007,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,"Silicon Hose Tube II (11 3/4"") Diam: 1/4""",0
12627600000009,MGH96M060B3 / MGH96M080B3 / MGH96M080C4 / MGH96M100C5 / MGH96M100D5 / MGH96M120D5,"Silicon Hose Tube Ill (3 1/8"") Diam: 1/4""",0
